1,"364"
2,"362"
3,"361"
4,"366"
5,"362"
6,"355"
7,"354"
8,"354"
9,"354"
10,"354"
11,"358"
12,"367"
13,"372"
14,"368"
15,"360"
16,"343"
17,"339"
18,"333"
19,"328"
20,"326"
21,"324"
22,"329"
23,"329"
24,"323"
25,"318"
26,"312"
27,"309"
28,"305"
29,"303"
